Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
NA,botclean,0,--/--,No,No Entregada
/Tareas IA/T2-fsm/e2-botclean/info.json,saveprincess,100,--/--,yes,
NA,bfsshortreach,0,--/--,No,No Entregada
/Tareas IA/Extra-PacMan -DFS/info.json,pacman-dfs,0,55.00/15.0,yes,
/Tareas IA/T4-PacMan-A star/info.json,pacman-astar,100,5.00/5.0,yes,
/Tareas IA/T5-Npuzzle/info.json,n-puzzle,17,9.00/54.0,yes,
/proyecto1/info.json,proyecto1,85,85/100.0,yes,
/proyecto1/info.json,examen1,85,85/100.0,yes,
