Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
/ejercicios/e2-botclean/info.json,botclean,100,--/--,yes,
/ejercicios/e1-saveprincess/info.json,saveprincess,100,--/--,yes,
/ejercicios/e3-bfsshortreach/info.json,bfsshortreach,100,55.0/55.0,yes,
NA,pacman-dfs,0,--/--,No,Opcional
/ejercicios/e4-pacman/info.json,pacman-astar,100,5.0/5.0,yes,
NA,n-puzzle,0,--/--,No,No Entregada
/proyecto/proyecto1/info.json,proyecto1,90,90/100.0,yes,
/proyecto/proyecto1/info.json,examen1,90,90/100.0,yes,
