Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
/Ejercicios/E2-botclean/info.json,botclean,100,--/--,yes,
/Ejercicios/E1-saveprincess/info.json,saveprincess,100,--/--,yes,
/Ejercicios/E3-bfsshortreach/info.json,bfsshortreach,71,38.82/55.0,yes,
/Ejercicios/E4-pacman-dfs/info.json,pacman-dfs,33,5.0/15.0,yes,
/Ejercicios/E5-pacman-astar/info.json,pacman-astar,100,5.0/5.0,yes,
/Ejercicios/E6-n-puzzle/info.json,n-puzzle,0,0.0/54.0,no,
/Proyectos/Proyecto1/info.json,proyecto1,100,100/100.0,yes,
/Proyectos/Proyecto1/info.json,examen1,100,100/100.0,yes,
