Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
/ejercicios/e2botclean/info.json,botclean,100,--/--,yes,
/ejercicios/e1savesprincess/info.json,saveprincess,100,--/--,yes,
/ejercicios/e3breadthFirstSearchShortestReach/info.json,bfsshortreach,100,55.0/55.0,yes,
NA,pacman-dfs,0,--/--,No,Opcional
/ejercicios/e4PacmanAestrella/info.json,pacman-astar,100,5.0/5.0,yes,
/ejercicios/e5NPuzzle/info.json,n-puzzle,0,54.00/45.0,yes,
/proyectos/info.json,proyecto1,85.00,85/100.0,yes,
