Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
/Ejercicios/e2-botclean/info.json,botclean,100,--/--,yes,
/Ejercicios/e1-saveprincess/info.json,saveprincess,100,--/--,yes,
/Ejercicios/e3-bfsshortreach/info.json,bfsshortreach,100,55/55.0,yes,
/Ejercicios/e4-pacmandfs/info.json,pacman-dfs,33.33333333333333333333333333333333,5/15.0,yes,
/Ejercicios/e5pacmanstar/info.json,pacman-astar,100,5/5.0,yes,
/Ejercicios/e6npuzzle/info.json,n-puzzle,0E+1,0/45.0,yes,
NA,proyecto1,0,--/--,No,Pendiente
