Fuente,Trabajo,Nota,Puntos,aTiempo,Estado
NA,tarea1fsm,0,--/--,No,Pendiente
/Ejercicios/e2 - botclean/info.json,botclean,100,--/--,yes,
/Ejercicios/e1 - saveprincess/info.json,saveprincess,100,--/--,yes,
/Ejercicios/e3 - BFS Short Reach/info.json,bfsshortreach,100,55.0/55.0,yes,
/Ejercicios/e4 - DFS Pacman/info.json,pacman-dfs,100,15.0/15.0,yes,
/Ejercicios/e5 - AStar Pacman/info.json,pacman-astar,100,5.0/5.0,yes,
/Ejercicios/e6 - N_Puzzle/info.json,n-puzzle,0,54.0/45.0,yes,
/Proyectos/Taxi/info.json,proyecto1,95.00,95/100.0,yes,
